abbrev,conference,seed,p_r1_win,p_r2_win,p_cf_win,p_champion
DET,EAST,1,0.7375833333333334,0.5720833333333334,0.34,0.1605
BOS,EAST,2,0.9384166666666667,0.5678333333333333,0.3001666666666667,0.12858333333333333
NYK,EAST,3,0.7305,0.375,0.17566666666666667,0.07216666666666667
CLE,EAST,4,0.398,0.094,0.02425,0.006083333333333333
TOR,EAST,5,0.602,0.19691666666666666,0.074,0.022833333333333334
ATL,EAST,6,0.2695,0.08366666666666667,0.027833333333333335,0.007333333333333333
PHI,EAST,7,0.06158333333333333,0.00725,0.0011666666666666668,8.333333333333333e-5
CHA,EAST,8,0.24583333333333332,0.10166666666666667,0.0565,0.01875
ORL,EAST,8,0.016583333333333332,0.0015833333333333333,4.166666666666667e-4,0
OKC,WEST,1,0.95075,0.84225,0.5515833333333333,0.35041666666666665
SAS,WEST,2,0.97075,0.7818333333333334,0.35641666666666666,0.20616666666666666
DEN,WEST,3,0.7169166666666666,0.16675,0.04225,0.013083333333333334
LAL,WEST,4,0.47283333333333333,0.07108333333333333,0.01575,0.004583333333333333
HOU,WEST,5,0.5271666666666667,0.09858333333333333,0.024916666666666667,0.007833333333333333
MIN,WEST,6,0.28308333333333335,0.03025,0.005583333333333333,0.0010833333333333333
POR,WEST,7,0.02925,0.0015,3.333333333333333e-4,8.333333333333333e-5
GSW,WEST,8,0.0035,1.6666666666666666e-4,0,0
PHX,WEST,8,0.04575,0.007583333333333333,0.0031666666666666666,4.166666666666667e-4
